customer_id,full_name,gender,date_of_birth,province,occupation,monthly_income,join_date,customer_segment
C00056,Lâm Đức Trần,Female,2008-03-31,Dong Nai,Government Employee,34722708.58,2022-07-23,Affluent
C00057,Thành Bảo Bùi,Female,1990-07-16,Ba Ria - Vung Tau,Doctor,73282416.44,2019-12-27,Affluent
C00058,Ông Tú Nguyễn,Female,1993-09-20,Quang Ninh,Student,38313881.21,2022-08-14,Affluent
C00059,Nhật Tấn Trần,Female,1991-05-29,Nam Dinh,Teacher,24649205.04,2019-03-19,Affluent
C00060,Chị Mai Mai,Male,1978-09-17,Binh Duong,IT Specialist,15612676.98,2023-03-01,Mass
C00061,Anh Huy Lê,Male,1982-06-11,Bac Ninh,Office Staff,8728740.1,2022-06-21,Mass
C00062,Bảo Phạm,Male,1975-09-02,Dong Nai,Business Owner,7346755.43,2023-09-18,Mass
C00063,Nhật Mai,Male,1984-01-04,Da Nang,Office Staff,25830762.3,2020-12-05,Mass
C00064,An Mai,Male,2001-05-18,Ha Noi,Engineer,9842428.16,2021-11-16,Mass
C00065,Hương Phạm,Female,1989-04-26,Hue,Freelancer,81759329.4,2019-04-19,Premium
C00066,Quý cô Nhật Dương,Male,2007-12-08,Bac Ninh,Business Owner,12291447.45,2022-11-22,Mass
C00067,Quý cô Xuân Nguyễn,Male,2001-12-29,Ho Chi Minh City,Student,120856894.82,2026-04-07,Premium
C00068,Quý cô An Bùi,Female,2001-03-28,Hue,Engineer,185887926.79,2021-09-14,Premium
C00069,Bảo Vũ,Female,1998-10-27,Binh Duong,Engineer,31776582.1,2021-05-15,Affluent
C00070,Nhật Mai Bảo Lê,Female,1981-10-29,Hue,Sales,7799847.16,2021-04-26,Mass
C00071,Bà Mai Nguyễn,Female,1988-06-27,Hue,Bank Employee,168684024.55,2025-08-06,Premium
C00072,Yến Đặng,Female,2008-07-01,Khanh Hoa,Freelancer,12801066.66,2024-02-23,Mass
C00073,Ngọc Hoàng,Female,1988-05-01,Nam Dinh,Doctor,15776865.45,2024-07-03,Mass
C00074,Anh Hưng Mai,Female,2004-04-18,Thanh Hoa,IT Specialist,7559059.93,2020-05-25,Mass
C00075,Bảo Trần,Female,1985-07-10,Ho Chi Minh City,Engineer,13314468.29,2025-06-12,Mass
C00076,Hải Phạm,Female,1988-04-15,Hai Phong,Doctor,13546978.36,2020-07-09,Mass
C00077,Hà Hải Hoàng,Female,1998-07-18,Ha Noi,Office Staff,13016209.22,2023-05-01,Mass
C00078,Duyên Trần,Female,1987-08-28,Thanh Hoa,Accountant,28248564.33,2024-06-15,Affluent
C00079,Hải Tấn Vũ,Male,1969-10-17,Hue,IT Specialist,14164632.26,2019-08-28,Mass
C00080,Bà Mai Vũ,Female,2004-09-27,Ba Ria - Vung Tau,Engineer,42619595.85,2020-06-15,Affluent
C00081,Bảo Thế Dương,Male,2000-10-09,Nghe An,IT Specialist,15805946.99,2020-10-17,Mass
C00082,Vũ Văn Dương,Female,1978-08-05,Thanh Hoa,Teacher,27361676.49,2025-06-27,Affluent
C00083,Hà Mai,Female,1979-12-24,Khanh Hoa,Sales,117952565.55,2022-12-18,Premium
C00084,Bà Lan Đặng,Female,1981-01-20,Hue,Government Employee,23307709.69,2019-10-14,Mass
C00085,Lâm Đặng,Female,1993-02-01,Thanh Hoa,Business Owner,27916759.63,2025-02-24,Affluent
C00086,Phúc Dương,Male,2000-01-08,Thanh Hoa,Bank Employee,9019357.04,2022-12-07,Mass
C00087,Trọng Mai,Male,1991-05-10,Bac Ninh,Business Owner,13521889.83,2024-01-22,Mass
C00088,Dương Mai,Male,1987-07-19,Bac Ninh,Accountant,16029339.9,2025-12-03,Mass
C00089,Tú Lê,Male,1990-03-05,Hue,Sales,19958269.66,2022-08-31,Mass
C00090,Tú Trần,Male,1993-03-01,Hue,Freelancer,296853233.28,2018-03-22,Premium
C00091,Bà Hạnh Hoàng,Female,1983-12-15,Hue,IT Specialist,8889772.91,2021-12-11,Mass
C00092,Bà Mai Vũ,Male,2002-03-15,Binh Duong,Accountant,14207528.43,2026-03-29,Mass
C00093,Bác Hưng Trần,Female,1992-11-28,Ba Ria - Vung Tau,Doctor,15406766.91,2021-01-22,Mass
C00094,Hạnh Thị Nguyễn,Male,1985-09-20,Hue,Sales,11697984.13,2022-07-15,Mass
C00095,Hoàng Đức Lê,Female,2000-02-04,Ba Ria - Vung Tau,Teacher,60000000.0,2023-12-28,Premium
C00096,Quý ông Tùng Nguyễn,Male,1995-03-15,Khanh Hoa,Freelancer,16194087.85,2018-12-10,Mass
C00097,Hà Lê,Female,1988-07-26,Binh Duong,IT Specialist,7759346.19,2020-12-01,Mass
C00098,Ánh Đặng,Male,1989-06-17,Thanh Hoa,Sales,13732533.6,2022-04-02,Mass
C00099,Quý cô Bảo Nguyễn,Male,2000-02-28,Nam Dinh,Engineer,12663330.27,2026-05-27,Mass
C00100,Quang Nguyễn,Female,1990-04-07,Bac Ninh,Bank Employee,8043521.99,2025-04-23,Mass
C00101,Trung Hải Trần,Male,1987-09-19,Bac Ninh,Doctor,41412526.99,2024-12-19,Affluent
C00102,Tùng Bảo Hoàng,Male,1979-08-03,Thanh Hoa,Bank Employee,17352513.53,2020-06-11,Mass
C00103,Chị Bảo Lê,Male,2006-05-21,Dong Nai,Sales,8642292.52,2024-10-23,Mass
C00104,An Xuân Đặng,Female,1985-08-07,Dong Nai,Teacher,122815664.22,2019-03-19,Premium
C00105,Hải Hải Vũ,Female,1985-04-28,Khanh Hoa,Bank Employee,80000000.0,2022-03-18,Affluent
C00106,Cô Kim Nguyễn,Male,1984-06-25,Hai Phong,Freelancer,17856268.51,2025-01-13,Mass
C00107,Anh Trung Dương,Male,1979-10-15,Dong Nai,Business Owner,42553641.66,2024-09-25,Affluent
C00108,Khoa Hải Phạm,Female,1993-12-17,Dong Nai,Office Staff,15651173.17,2022-10-21,Mass
C00109,Dương Phạm,Female,1999-08-27,Nghe An,Bank Employee,11045467.22,2022-09-17,Mass
C00110,Thành Đức Trần,Female,1996-08-08,Hue,Sales,12348845.77,2023-02-27,Mass
C00111,Quang Mai,Female,1965-03-01,Quang Ninh,Student,6242394.44,2025-04-18,Mass
C00112,Hải Tấn Nguyễn,Male,1983-01-03,Dong Nai,IT Specialist,6824070.18,2026-03-14,Mass
C00113,Hạnh Lê,Female,1996-04-19,Binh Duong,Doctor,48522773.31,2018-12-21,Affluent
C00114,Hưng Trần,Male,1990-02-15,Bac Ninh,IT Specialist,8229259.03,2025-06-29,Mass
C00115,Thành Tấn Bùi,Male,1998-09-17,Thanh Hoa,Sales,15222367.04,2020-05-18,Mass
C00116,Kim Hoàng,Male,1999-05-22,Da Nang,Business Owner,37348234.39,2025-11-12,Affluent
C00117,Bà Ngọc Bùi,Female,1989-12-23,Ha Noi,Government Employee,77055816.35,2018-12-17,Premium
C00118,Vân Mai,Male,1967-03-15,Thanh Hoa,Government Employee,42331173.14,2025-09-29,Affluent
C00119,Bà Hồng Trần,Male,2007-09-30,Thanh Hoa,IT Specialist,37013560.89,2019-01-17,Affluent
C00120,Trọng Tấn Trần,Male,1998-03-08,Can Tho,Doctor,16171627.49,2024-07-10,Mass
C00121,Minh Vũ,Male,1998-12-22,Nghe An,Sales,11527654.59,2026-05-14,Mass
C00122,Thành Hữu Vũ,Female,1985-04-07,Can Tho,IT Specialist,16247206.2,2020-10-26,Mass
C00123,Chị Kim Bùi,Male,2004-06-23,Da Nang,Engineer,31658215.58,2026-07-19,Affluent
C00124,Bà Kim Mai,Female,1996-06-25,Bac Ninh,Student,9547137.95,2026-02-15,Mass
C00125,Thảo Vũ,Female,1971-01-13,Khanh Hoa,Business Owner,117585163.92,2020-03-06,Premium
C00126,Quý cô Vi Hoàng,Male,2004-03-29,Quang Ninh,Business Owner,16546230.83,2023-12-28,Mass
C00127,Bảo Mai Dương,Male,1967-09-16,Ha Noi,Government Employee,17223409.76,2019-06-02,Mass
C00128,Quý cô Vi Lê,Female,2007-01-21,Hai Phong,Office Staff,10129224.13,2023-04-07,Mass
C00129,Hạnh Mai,Male,1977-04-15,Quang Ninh,Office Staff,9367275.98,2023-05-11,Mass
C00130,Vũ Hải Vũ,Male,1986-09-01,Hue,IT Specialist,15737219.39,2025-01-22,Mass
C00131,Chị Lan Nguyễn,Female,2001-07-15,Quang Ninh,Freelancer,97647108.26,2018-12-15,Premium
C00132,Mai Dương,Other,2008-07-30,Nghe An,Accountant,8384384.4,2024-12-08,Mass
C00133,Nhật Bùi,Male,1993-01-08,Hue,IT Specialist,24071127.83,2021-05-02,Affluent
C00134,Quý cô Chi Bùi,Female,1973-03-02,Nam Dinh,Freelancer,7274369.68,2024-11-02,Mass
C00135,Chị Dương Nguyễn,Female,1995-08-13,Dong Nai,Doctor,12561867.7,2020-12-19,Mass
C00136,Kim Phạm,Female,1975-07-19,Bac Ninh,Teacher,7259819.0,2019-10-04,Mass
C00137,Quý cô An Mai,Male,1978-02-18,Can Tho,Freelancer,12043055.91,2018-05-14,Mass
C00138,Cô Chi Lê,Male,2000-10-04,Nam Dinh,Student,40204507.0,2018-10-19,Affluent
C00139,Bác Bảo Hoàng,Female,1988-05-21,Dong Nai,Bank Employee,9726272.63,2020-03-21,Mass
C00140,Phương Mai Lê,Male,1989-12-29,Bac Ninh,Bank Employee,10486061.41,2020-12-24,Mass
C00141,Quý ông Anh Phạm,Female,1989-08-28,Ha Noi,Teacher,42690963.23,2024-09-03,Affluent
C00142,Minh Dương,Female,1972-12-20,Ba Ria - Vung Tau,Business Owner,7780893.87,2023-04-04,Mass
C00143,Bà Chi Trần,Female,1966-10-16,Hue,Business Owner,6059794.69,2023-07-16,Mass
C00144,Quang Vũ,Male,1991-12-01,Ha Noi,Accountant,41756002.92,2024-10-08,Affluent
C00145,Dũng Quang Lê,Male,1987-08-19,Bac Ninh,Bank Employee,29036051.28,2024-06-14,Affluent
C00146,Chị Kim Lê,Female,1993-09-22,Dong Nai,Bank Employee,30188099.22,2024-06-18,Affluent
C00147,Cô Hồng Bùi,Male,1997-07-04,Thanh Hoa,Government Employee,16155610.42,2021-02-13,Mass
C00148,Tùng Mai Bùi,Male,1986-12-09,Hue,Bank Employee,28430860.23,2019-01-09,Affluent
C00149,Mai Bùi,Male,1981-03-10,Da Nang,Sales,13362623.01,2019-10-21,Mass
C00150,Khoa Văn Hoàng,Male,1981-10-15,Thanh Hoa,Business Owner,14958455.79,2022-06-29,Mass
C00151,Nhật Văn Đặng,Female,1999-12-24,Ha Noi,IT Specialist,9863521.8,2020-10-30,Mass
C00152,Thành Bùi,Male,1982-03-13,Binh Duong,Government Employee,42033173.05,2018-01-05,Affluent
C00153,Quý cô Mai Vũ,Female,1990-12-30,Thanh Hoa,Accountant,12503032.74,2023-10-25,Mass
C00154,Nhật Văn Bùi,Male,1976-01-25,Ho Chi Minh City,IT Specialist,29308472.7,2020-04-13,Affluent
C00155,Thành Xuân Dương,Male,1984-07-29,Ba Ria - Vung Tau,Business Owner,11180142.59,2025-10-31,Mass
C00156,Cô Kim Hoàng,Male,1993-09-18,Ho Chi Minh City,Freelancer,48666023.49,2025-12-17,Affluent
C00157,Hương Bùi,Male,1980-12-27,Ha Noi,Government Employee,15952810.53,2020-07-09,Mass
C00158,Quý cô Bảo Nguyễn,Other,1976-08-09,Thanh Hoa,Engineer,12088541.18,2019-09-23,Mass
C00159,Thành Đặng,Female,1983-05-09,Nghe An,Student,10765141.61,2023-05-31,Mass
C00160,Quý cô Linh Đặng,Female,1987-06-02,Thanh Hoa,Government Employee,11465661.14,2020-02-20,Mass
C00161,Hạnh Bảo Vũ,Female,1989-01-16,Can Tho,Teacher,41841771.93,2021-02-05,Affluent
C00162,Nhật Nguyễn,Female,2000-03-02,Da Nang,Government Employee,24959192.63,2018-01-11,Mass
C00163,Linh Phạm,Male,2002-05-01,Binh Duong,Freelancer,7845504.05,2025-05-27,Mass
C00164,Hải Nguyễn,Male,1978-07-22,Thanh Hoa,Government Employee,15831293.66,2021-09-23,Mass
C00165,Mai Phạm,Female,1983-12-31,Hue,IT Specialist,128574485.45,2020-02-12,Premium
C00166,Duyên Lê,Female,1991-06-03,Khanh Hoa,Accountant,8765886.2,2022-08-10,Mass
C00167,Chị Chi Trần,Male,1990-02-03,Can Tho,Accountant,9467832.98,2025-06-11,Mass
C00168,Quý cô Yến Vũ,Female,1979-11-07,Quang Ninh,IT Specialist,94287368.77,2019-06-02,Premium
C00169,Phúc Đức Lê,Female,1999-12-03,Da Nang,Engineer,31783023.94,2022-12-09,Affluent
C00170,Tú Hoàng,Male,1986-02-13,Ha Noi,Student,9851296.36,2025-05-05,Mass
C00171,Xuân Vũ,Female,2000-08-23,Thanh Hoa,Business Owner,13068400.93,2025-10-08,Mass
C00172,Kim Hoàng Trần,Male,1988-08-23,Binh Duong,Sales,30062095.99,2023-12-26,Affluent
C00173,Cô Yến Vũ,Male,1996-04-22,Ho Chi Minh City,Student,37523336.37,2023-06-22,Affluent
C00174,Khoa Nguyễn,Female,2006-09-11,Khanh Hoa,Engineer,7332337.27,2025-09-04,Mass
C00175,Tùng Bảo Đặng,Female,1998-06-07,Can Tho,Engineer,11136189.79,2019-02-08,Mass
C00176,Phương Đặng,Female,1986-10-09,Binh Duong,Engineer,20111289.53,2025-10-13,Mass
C00177,Ánh Bùi,Male,1981-09-21,Ha Noi,Sales,33360297.74,2021-04-16,Affluent
C00178,Ông Huy Đặng,Male,1991-02-25,Quang Ninh,Doctor,8448774.25,2024-05-07,Mass
C00179,Anh Huy Lê,Female,1991-07-03,Quang Ninh,Teacher,10846865.3,2022-04-16,Mass
C00180,Trọng Mai,Female,1987-06-03,Thanh Hoa,Freelancer,8983376.55,2023-03-04,Mass
C00181,Quý ông Huy Hoàng,Female,1985-02-11,Nam Dinh,Bank Employee,20519286.92,2023-03-21,Mass
C00182,Dũng Phạm,Female,1991-10-22,Nghe An,Teacher,13811557.65,2021-11-16,Mass
C00183,Hạnh Dương,Female,1983-05-05,Ho Chi Minh City,Accountant,10427843.46,2023-02-15,Mass
C00184,Quý cô Duyên Hoàng,Female,1988-06-24,Hue,IT Specialist,12053004.8,2022-04-12,Mass
C00185,Thành Văn Dương,Female,1988-12-13,Nam Dinh,Student,9155485.66,2025-05-20,Mass
C00186,Phúc Mai Bảo Phạm,Male,1990-09-29,Khanh Hoa,Bank Employee,40639786.46,2018-07-20,Affluent
C00187,Anh Tấn Vũ,Female,1975-01-26,Binh Duong,Business Owner,46671295.08,2020-07-31,Affluent
C00188,Tùng Nguyễn,Female,1967-04-12,Bac Ninh,Bank Employee,9173647.79,2020-10-23,Mass
C00189,Cô Mai Bùi,Female,1980-11-02,Ho Chi Minh City,Teacher,12795279.99,2025-01-14,Mass
C00190,Anh Châu Dương,Female,1966-05-04,Dong Nai,IT Specialist,9043101.93,2022-02-03,Mass
C00191,Ông Vũ Vũ,Female,2000-08-15,Ba Ria - Vung Tau,Business Owner,9729078.88,2022-08-29,Mass
C00192,Quý cô Yến Phạm,Male,2008-07-23,Dong Nai,Government Employee,29892916.77,2022-02-07,Affluent
C00193,Nhiên Đặng,Female,1999-05-15,Binh Duong,Teacher,12648573.92,2023-05-28,Mass
C00194,Bác Huy Mai,Female,1987-05-06,Can Tho,Sales,61448493.1,2023-04-03,Affluent
C00195,Quang Mai Vũ,Female,1980-07-25,Dong Nai,Doctor,29437723.52,2026-02-14,Affluent
C00196,Anh Phạm,Female,2000-03-11,Binh Duong,Government Employee,14254581.44,2022-06-05,Mass
C00197,Nhật Phạm,Male,2004-12-29,Hai Phong,IT Specialist,22780780.45,2026-05-26,Mass
C00198,Tú Xuân Phạm,Female,1977-12-11,Hue,Bank Employee,82888797.9,2019-03-20,Premium
C00199,Quý cô Thảo Hoàng,Female,2008-01-31,Ha Noi,Freelancer,52536584.46,2024-04-18,Affluent
C00200,Tú Phạm,Male,1991-11-25,Bac Ninh,Bank Employee,18506876.38,2023-03-17,Mass
C00201,Quang Đặng,Female,2008-04-27,Ho Chi Minh City,Accountant,9729138.89,2018-07-05,Mass
C00202,Bà An Mai,Female,1990-05-01,Thanh Hoa,Engineer,12198949.7,2024-01-11,Mass
C00203,Bà An Nguyễn,Male,1995-02-12,Da Nang,Bank Employee,128292159.48,2025-10-23,Premium
C00204,Hoàng Dương,Female,2002-02-28,Khanh Hoa,Student,33536493.9,2022-08-27,Affluent
C00205,An Hoàng,Female,1989-01-26,Khanh Hoa,Accountant,122847742.12,2021-02-19,Premium
C00206,Châu Dương,Male,1983-03-30,Bac Ninh,IT Specialist,8095286.01,2020-08-25,Mass
C00207,Bác Phúc Nguyễn,Female,2007-08-10,Ho Chi Minh City,Sales,18766878.56,2025-03-26,Mass
C00208,Châu Trần,Male,1987-03-15,Nam Dinh,Doctor,74126683.7,2023-02-06,Premium
C00209,Kim Dương,Male,1973-06-21,Ho Chi Minh City,Bank Employee,12495802.3,2018-03-29,Mass
C00210,Khoa Nguyễn,Male,1978-04-19,Bac Ninh,Teacher,35716172.8,2020-04-20,Affluent
C00211,Chị Khoa Vũ,Male,1967-12-30,Bac Ninh,Freelancer,22181884.55,2020-08-12,Mass
C00212,Lâm Trần,Male,1993-07-19,Dong Nai,Freelancer,16860211.26,2019-08-16,Mass
C00213,Khoa Hải Mai,Female,1983-01-02,Nam Dinh,Teacher,19373917.35,2018-04-16,Mass
C00214,Nhật Mai Vũ,Male,2001-03-31,Dong Nai,Doctor,15256790.17,2018-03-06,Mass
C00215,Hạnh Thị Hoàng,Male,1979-09-10,Quang Ninh,Student,6484066.3,2019-04-11,Mass
C00216,Lâm Phạm,Female,2004-01-30,Thanh Hoa,Sales,5877757.95,2019-03-23,Mass
C00217,Vũ Lê,Male,1993-06-11,Khanh Hoa,Office Staff,43406566.79,2025-05-22,Affluent
C00218,Chị Vân Trần,Female,1974-02-15,Ho Chi Minh City,Office Staff,12315268.36,2023-05-16,Mass
C00219,Cô Kim Dương,Female,1973-03-03,Ho Chi Minh City,Engineer,7402895.0,2022-12-22,Mass
C00220,Bác Hưng Phạm,Male,2008-08-18,Da Nang,Freelancer,11768952.92,2019-06-01,Mass
C00221,Khoa Dương,Male,1985-11-14,Khanh Hoa,Government Employee,34658383.24,2022-04-10,Affluent
C00222,Hải Phạm,Other,2008-01-01,Nam Dinh,IT Specialist,11631473.26,2022-10-29,Mass
C00223,Nhiên Phạm,Male,2004-10-05,Hai Phong,Bank Employee,15169579.02,2026-08-16,Mass
C00224,Hà Hải Lê,Female,1986-06-16,Hue,IT Specialist,26400531.05,2022-08-22,Affluent
C00225,Hoàng Trần,Male,1996-02-12,Hue,Accountant,25472106.86,2021-07-04,Affluent
C00226,Lan Vũ,Male,1990-10-28,Nam Dinh,Sales,146529549.94,2025-09-14,Premium
C00227,Bảo Trần,Female,2001-08-27,Hai Phong,Engineer,14315214.61,2019-01-31,Mass
C00228,Bác Thành Vũ,Female,1996-03-25,Dong Nai,Teacher,9092056.85,2024-07-30,Mass
C00229,Quý ông Vũ Hoàng,Female,1991-12-20,Da Nang,Bank Employee,8352591.39,2021-12-19,Mass
C00230,Xuân Bùi,Female,1997-02-27,Binh Duong,Student,7890420.17,2021-03-24,Mass
C00231,Trọng Đức Nguyễn,Female,1969-04-11,Hai Phong,Freelancer,12149024.68,2019-09-26,Mass
C00232,Lâm Hoàng,Female,1998-06-09,Binh Duong,Engineer,12933225.48,2024-03-28,Mass
C00233,Vi Vũ,Male,1992-05-13,Khanh Hoa,Doctor,32755051.08,2024-04-16,Affluent
C00234,Vi Lê,Female,1983-11-21,Khanh Hoa,Bank Employee,15643169.19,2018-04-18,Mass
C00235,Quý ông Anh Lê,Female,1995-10-31,Binh Duong,Student,9809686.01,2020-01-09,Mass
C00236,Hải Mai Bảo Trần,Male,1994-04-27,Ba Ria - Vung Tau,Sales,5361448.83,2020-01-14,Mass
C00237,Bác Huy Đặng,Female,2006-12-14,Ho Chi Minh City,Accountant,19362005.06,2026-04-24,Mass
C00238,Tú Xuân Đặng,Female,1972-09-22,Hai Phong,Student,10998336.52,2022-03-21,Mass
C00239,Nhật Mai Bảo Vũ,Male,1984-04-13,Quang Ninh,Sales,13381112.58,2021-08-21,Mass
C00240,Phương Thị Dương,Female,1956-12-25,Khanh Hoa,Engineer,48970620.41,2019-09-30,Affluent
C00241,Thành Vũ,Male,1991-11-21,Ha Noi,Bank Employee,8588872.72,2022-12-20,Mass
C00242,Tú Hữu Mai,Female,2008-01-24,Khanh Hoa,IT Specialist,12885709.7,2020-06-01,Mass
C00243,Dương Mai,Female,1999-08-04,Da Nang,Accountant,7294479.66,2025-08-09,Mass
C00244,Quý ông Hưng Phạm,Female,1998-01-25,Nghe An,Bank Employee,8218312.11,2020-06-22,Mass
C00245,Trọng Mai Bảo Dương,Male,1971-12-06,Ha Noi,Office Staff,16337785.68,2020-05-15,Mass
C00246,Mai Vũ,Female,1991-05-26,Nam Dinh,Sales,20143609.64,2023-07-31,Mass
C00247,Bà Nhật Dương,Female,1990-07-06,Quang Ninh,Accountant,8876942.45,2020-07-31,Mass
C00248,An Hoàng,Female,1973-10-30,Dong Nai,Sales,14490962.29,2026-04-28,Mass
C00249,Chị Thảo Mai,Male,2002-09-21,Thanh Hoa,Engineer,33057433.51,2024-06-16,Affluent
C00250,Vân Bùi,Male,2000-03-07,Can Tho,Bank Employee,7395907.04,2019-04-17,Mass
C00251,Lâm Trần,Male,1980-04-22,Quang Ninh,Freelancer,23410917.51,2025-09-25,Mass
C00252,Ông Hoàng Dương,Female,2006-08-15,Hue,Engineer,14613501.81,2024-08-09,Mass
C00253,Minh Vũ,Male,1998-08-22,Hue,Business Owner,30241357.66,2020-06-26,Affluent
C00254,Nhật Mai Bảo Phạm,Male,1997-07-07,Hai Phong,Government Employee,8868537.32,2023-12-14,Mass
